
=== NO_FIRST_REVIEWS ===
Aggregation weight: reviews (99% CI, bootstrap BCa)
Methods compared: 11
Common users in all method files: 1
Common reviews (from shared users): 178986

| Method                            | RMSE         | MAE         | MAPE          |
| --------------------------------- | ------------ | ----------- | ------------- |
| POOR_MANS_FSRS                    | 9.38±0.00 s  | 5.41±0.00 s | 105.37%±0.00% |
| FSRS7_R_GRADE_INTERACT            | 9.42±0.00 s  | 5.67±0.00 s | 118.63%±0.00% |
| FSRS7_DSR_GRADE_NN                | 9.53±0.00 s  | 4.69±0.00 s | 74.66%±0.00%  |
| GRADE_MEDIAN_4_4                  | 9.66±0.00 s  | 4.80±0.00 s | 84.14%±0.00%  |
| GRADE_MEDIAN_4                    | 9.66±0.00 s  | 4.78±0.00 s | 83.12%±0.00%  |
| GRADE_MEDIAN_8                    | 9.66±0.00 s  | 4.78±0.00 s | 83.12%±0.00%  |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR | 9.68±0.00 s  | 5.84±0.00 s | 116.35%±0.00% |
| MOVING_AVG                        | 9.69±0.00 s  | 4.89±0.00 s | 72.14%±0.00%  |
| FSRS7_R_LINEAR                    | 9.70±0.00 s  | 5.95±0.00 s | 123.94%±0.00% |
| CONST                             | 10.03±0.00 s | 5.28±0.00 s | 97.28%±0.00%  |
| USER_MEDIAN                       | 10.20±0.00 s | 5.21±0.00 s | 87.16%±0.00%  |

Highlights:
- Best RMSE: POOR_MANS_FSRS (9.3820 s)
- Best MAE: FSRS7_DSR_GRADE_NN (4.6926 s)
- Best MAPE: MOVING_AVG (72.1448%)
- Overall: no single method is best on all three metrics.
Interpretation tip: 10s MAE means ~10s average absolute error; 10s RMSE is in seconds too but penalizes large misses more; MAPE is percentage (e.g., 10% means ~2s error when true time is 20s).

R-bucket precision (5% buckets):

Method: CONST (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | Ratio map (%) vs 0.85-0.90 | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | -------------------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 7.0000        | 6.5221   | 3.7580  | 80.76                      | 55.56         |
| 0.30-0.35 | 1296  | 15.8337       | 7.0000        | 16.3978  | 10.1305 | 44.79                      | 25.23         |
| 0.35-0.40 | 8448  | 15.8267       | 7.0000        | 16.9826  | 10.0305 | 44.81                      | 27.32         |
| 0.40-0.45 | 5508  | 14.7833       | 7.0000        | 16.0979  | 9.2087  | 47.97                      | 28.12         |
| 0.45-0.50 | 2626  | 14.2600       | 7.0000        | 15.3749  | 8.7739  | 49.73                      | 29.06         |
| 0.50-0.55 | 3402  | 12.3023       | 7.0000        | 13.0555  | 7.1149  | 57.65                      | 33.54         |
| 0.55-0.60 | 4560  | 10.9587       | 7.0000        | 11.8225  | 6.2970  | 64.71                      | 33.25         |
| 0.60-0.65 | 5523  | 10.7652       | 7.0000        | 11.8184  | 6.3092  | 65.88                      | 31.34         |
| 0.65-0.70 | 5592  | 10.3548       | 7.0000        | 11.4201  | 6.0004  | 68.49                      | 32.21         |
| 0.70-0.75 | 7555  | 9.4949        | 7.0000        | 10.1281  | 5.2644  | 74.69                      | 34.68         |
| 0.75-0.80 | 15982 | 8.7296        | 7.0000        | 9.3547   | 4.8765  | 81.24                      | 33.47         |
| 0.80-0.85 | 44942 | 7.5640        | 7.0000        | 8.2444   | 4.3725  | 93.76                      | 31.29         |
| 0.85-0.90 | 50304 | 7.0918        | 7.0000        | 8.8759   | 4.6074  | 100.00                     | 26.50         |
| 0.90-0.95 | 19759 | 5.4457        | 7.0000        | 7.5942   | 4.4782  | 76.79                      | 19.03         |
| 0.95-1.00 | 3452  | 2.8109        | 7.0000        | 5.5342   | 4.8528  | 39.64                      | 6.37          |

Method: FSRS7_DSR_GRADE_NN (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | Ratio map (%) vs 0.85-0.90 | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | -------------------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 16.3506       | 10.0834  | 9.7783  | 37.65                      | 0.00          |
| 0.30-0.35 | 1296  | 15.8337       | 15.1155       | 13.6230  | 9.4052  | 73.43                      | 12.58         |
| 0.35-0.40 | 8448  | 15.8267       | 14.1098       | 14.3629  | 9.3672  | 78.63                      | 14.23         |
| 0.40-0.45 | 5508  | 14.7833       | 12.7373       | 13.9318  | 8.7042  | 81.36                      | 16.14         |
| 0.45-0.50 | 2626  | 14.2600       | 12.1505       | 13.4444  | 8.3622  | 82.27                      | 16.79         |
| 0.50-0.55 | 3402  | 12.3023       | 11.0234       | 11.7189  | 7.1631  | 78.23                      | 18.90         |
